"filename";"fold";"specific_epithet"
"ALCB002274";2;"Peperomia+blanda"
"ALCB002285";2;"Peperomia+blanda"
"ALCB002428";11;"Peperomia+tetraphylla"
"ALCB002430";11;"Peperomia+tetraphylla"
"ALCB002437";13;"Peperomia+urocarpa"
"ALCB002439";13;"Peperomia+urocarpa"
"ALCB002457";14;"Piper+aduncum"
"ALCB002468";14;"Piper+aduncum"
"ALCB002539";19;"Piper+crassinervium"
"ALCB002542";19;"Piper+crassinervium"
"ALCB002545";19;"Piper+crassinervium"
"ALCB002546";19;"Piper+crassinervium"
"ALCB002640";15;"Piper+amalago"
"ALCB002656";16;"Piper+amplum"
"ALCB002671";21;"Piper+gaudichaudianum"
"ALCB002678";22;"Piper+glabratum"
"CEN00016600";16;"Piper+amplum"
"CEN00016615";23;"Piper+grazielae"
"CEN00016620";1;"Peperomia+alata"
"CEN00026250";13;"Peperomia+urocarpa"
"CEN00027516";26;"Piper+mikanianum"
"CEN00027545";19;"Piper+crassinervium"
"CEN00029342";32;"Piper+solmsianum"
"CEN00029485";18;"Piper+caldense"
"CEN00029591";13;"Peperomia+urocarpa"
"CEN00041528";20;"Piper+dilatatum"
"CEN00041531";26;"Piper+mikanianum"
"CEN00041534";14;"Piper+aduncum"
"CEN00041536";24;"Piper+hispidum"
"CEN00041538";27;"Piper+miquelianum"
"CEN00041539";20;"Piper+dilatatum"
"CEN00041540";7;"Peperomia+martiana"
"CEN00041542";19;"Piper+crassinervium"
"CEN00041543";18;"Piper+caldense"
"CEN00041546";33;"Piper+xylosteoides"
"CEN00041548";14;"Piper+aduncum"
"CEN00041552";25;"Piper+malacophyllum"
"CEN00041553";33;"Piper+xylosteoides"
"CEN00041554";24;"Piper+hispidum"
"CEN00041556";2;"Peperomia+blanda"
"CEN00041559";13;"Peperomia+urocarpa"
"CEN00041560";5;"Peperomia+glabella"
"CEN00041561";4;"Peperomia+corcovadensis"
"CEN00041564";32;"Piper+solmsianum"
"CEN00041567";13;"Peperomia+urocarpa"
"CEN00041571";13;"Peperomia+urocarpa"
"CEN00041572";25;"Piper+malacophyllum"
"CEN00041573";26;"Piper+mikanianum"
"CEN00041575";25;"Piper+malacophyllum"
"CEN00044965";20;"Piper+dilatatum"
"CEN00044966";14;"Piper+aduncum"
"CEN00044967";33;"Piper+xylosteoides"
"CEN00044983";17;"Piper+arboreum"
"CEN00044984";28;"Piper+mollicomum"
"CEN00044987";27;"Piper+miquelianum"
"CEN00044989";14;"Piper+aduncum"
"CEN00044990";29;"Piper+regnellii"
"CEN00044991";14;"Piper+aduncum"
"CEN00044992";32;"Piper+solmsianum"
"CEN00044993";32;"Piper+solmsianum"
"CEN00044995";2;"Peperomia+blanda"
"CEN00044996";17;"Piper+arboreum"
"CEN00044998";22;"Piper+glabratum"
