"filename";"fold";"specific_epithet"
"ALCB002272";2;"Peperomia+blanda"
"ALCB002282_1";2;"Peperomia+blanda"
"ALCB002286";2;"Peperomia+blanda"
"ALCB002302";3;"Peperomia+galioides"
"ALCB002304";4;"Peperomia+glabella"
"ALCB002305";4;"Peperomia+glabella"
"ALCB002306";4;"Peperomia+glabella"
"ALCB002307";4;"Peperomia+glabella"
"ALCB002308";4;"Peperomia+glabella"
"ALCB002313";6;"Peperomia+magnoliifolia"
"ALCB002317";6;"Peperomia+magnoliifolia"
"ALCB002318";6;"Peperomia+magnoliifolia"
"ALCB002325";7;"Peperomia+obtusifolia"
"ALCB002327";7;"Peperomia+obtusifolia"
"ALCB002328";7;"Peperomia+obtusifolia"
"ALCB002330";7;"Peperomia+obtusifolia"
"ALCB002331";7;"Peperomia+obtusifolia"
"ALCB002332";7;"Peperomia+obtusifolia"
"ALCB002333";7;"Peperomia+obtusifolia"
"ALCB002334";7;"Peperomia+obtusifolia"
"ALCB002335";7;"Peperomia+obtusifolia"
"ALCB002344_1";7;"Peperomia+obtusifolia"
"ALCB002345";7;"Peperomia+obtusifolia"
"ALCB002365";9;"Peperomia+pellucida"
"ALCB002370";9;"Peperomia+pellucida"
"ALCB002376";10;"Peperomia+rotundifolia"
"ALCB002377";10;"Peperomia+rotundifolia"
"ALCB002378_1";10;"Peperomia+rotundifolia"
"ALCB002379";10;"Peperomia+rotundifolia"
"ALCB002380";10;"Peperomia+rotundifolia"
"ALCB002381";10;"Peperomia+rotundifolia"
"ALCB002393";11;"Peperomia+sincorana"
"ALCB002394";11;"Peperomia+sincorana"
"ALCB002395";11;"Peperomia+sincorana"
"ALCB002396";11;"Peperomia+sincorana"
"ALCB002398";11;"Peperomia+sincorana"
"ALCB002400";11;"Peperomia+sincorana"
"ALCB002401";11;"Peperomia+sincorana"
"ALCB002405";11;"Peperomia+sincorana"
"ALCB002407";11;"Peperomia+sincorana"
"ALCB002409";12;"Peperomia+tetraphylla"
"ALCB002410";12;"Peperomia+tetraphylla"
"ALCB002414_1";12;"Peperomia+tetraphylla"
"ALCB002416_1";12;"Peperomia+tetraphylla"
"ALCB002417";12;"Peperomia+tetraphylla"
"ALCB002418";12;"Peperomia+tetraphylla"
"ALCB002429";12;"Peperomia+tetraphylla"
"ALCB002438";13;"Peperomia+urocarpa"
"ALCB002440";13;"Peperomia+urocarpa"
"ALCB002449";14;"Piper+aduncum"
"ALCB002452";14;"Piper+aduncum"
"ALCB002482";14;"Piper+aduncum"
"ALCB002483";14;"Piper+aduncum"
"ALCB002493";17;"Piper+arboreum"
"ALCB002497_1";17;"Piper+arboreum"
"ALCB002501";17;"Piper+arboreum"
"ALCB002502";17;"Piper+arboreum"
"ALCB002504";17;"Piper+arboreum"
"ALCB002506";17;"Piper+arboreum"
"ALCB002508";17;"Piper+arboreum"
"ALCB002509";17;"Piper+arboreum"
"ALCB002510";17;"Piper+arboreum"
"ALCB002512";17;"Piper+arboreum"
"ALCB002522";17;"Piper+arboreum"
"ALCB002524_1";17;"Piper+arboreum"
"ALCB002525";17;"Piper+arboreum"
"ALCB002527";17;"Piper+arboreum"
"ALCB002531";18;"Piper+caldense"
"ALCB002532";18;"Piper+caldense"
"ALCB002536";19;"Piper+cernuum"
"ALCB002538";19;"Piper+cernuum"
"ALCB002543";20;"Piper+crassinervium"
"ALCB002550";21;"Piper+dilatatum"
"ALCB002553";21;"Piper+dilatatum"
"ALCB002554";21;"Piper+dilatatum"
"ALCB002555";21;"Piper+dilatatum"
"ALCB002556";21;"Piper+dilatatum"
"ALCB002566";22;"Piper+divaricatum"
"ALCB002568";22;"Piper+divaricatum"
"ALCB002571";22;"Piper+divaricatum"
"ALCB002572";22;"Piper+divaricatum"
"ALCB002575";22;"Piper+divaricatum"
"ALCB002577";22;"Piper+divaricatum"
"ALCB002578";22;"Piper+divaricatum"
"ALCB002579";22;"Piper+divaricatum"
"ALCB002594";32;"Piper+tectoniifolium"
"ALCB002595";32;"Piper+tectoniifolium"
"ALCB002596";32;"Piper+tectoniifolium"
"ALCB002601";33;"Piper+tuberculatum"
"ALCB002602";33;"Piper+tuberculatum"
"ALCB002606";34;"Piper+umbellatum"
"ALCB002623";14;"Piper+aduncum"
"ALCB002627";14;"Piper+aduncum"
"ALCB002629";14;"Piper+aduncum"
"ALCB002634";15;"Piper+amalago"
"ALCB002635";15;"Piper+amalago"
"ALCB002639";15;"Piper+amalago"
"ALCB002641";15;"Piper+amalago"
"ALCB002644";15;"Piper+amalago"
"ALCB002645";15;"Piper+amalago"
"ALCB002646";15;"Piper+amalago"
"ALCB002648";15;"Piper+amalago"
"ALCB002649";15;"Piper+amalago"
"ALCB002653";15;"Piper+amalago"
"ALCB002654";15;"Piper+amalago"
"ALCB002655";15;"Piper+amalago"
"ALCB002665";23;"Piper+fuligineum"
"ALCB002666";31;"Piper+ovatum"
"ALCB002673";24;"Piper+gaudichaudianum"
"ALCB002674";24;"Piper+gaudichaudianum"
"ALCB002684";26;"Piper+hispidum"
"ALCB002685";26;"Piper+hispidum"
"ALCB002686";26;"Piper+hispidum"
"ALCB002687";26;"Piper+hispidum"
"ALCB002694";28;"Piper+ilheusense"
"ALCB002695";28;"Piper+ilheusense"
"ALCB002696";28;"Piper+ilheusense"
"ALCB002705";34;"Piper+umbellatum"
"ALCB002706";34;"Piper+umbellatum"
"ALCB002707_1";34;"Piper+umbellatum"
"ALCB002708";34;"Piper+umbellatum"
"ALCB002709";34;"Piper+umbellatum"
"ALCB002710";34;"Piper+umbellatum"
"ALCB002711";34;"Piper+umbellatum"
"ALCB002712";34;"Piper+umbellatum"
"ALCB002713";34;"Piper+umbellatum"
"ALCB002719_1";34;"Piper+umbellatum"
"ALCB002720";34;"Piper+umbellatum"
"ALCB002721";34;"Piper+umbellatum"
"ASE0004234";17;"Piper+arboreum"
"ASE0004449";17;"Piper+arboreum"
"CEN00009542";17;"Piper+arboreum"
"CEN00009601";11;"Peperomia+sincorana"
"CEN00028975";11;"Peperomia+sincorana"
"CEN00030324";2;"Peperomia+blanda"
"CEN00037801";30;"Piper+mollicomum"
"CEN00042436";15;"Piper+amalago"
"CEN00042438";15;"Piper+amalago"
"CEN00047110";6;"Peperomia+magnoliifolia"
"CEN00050901";11;"Peperomia+sincorana"
"CEN00050911";2;"Peperomia+blanda"
"CEN00052097";17;"Piper+arboreum"
"CEN00054499";21;"Piper+dilatatum"
"CEN00054500";29;"Piper+marginatum"
"CEN00054564";19;"Piper+cernuum"
"CEN00054565";32;"Piper+tectoniifolium"
"CEN00054566";20;"Piper+crassinervium"
"CEN00054586";12;"Peperomia+tetraphylla"
"CEN00055009";11;"Peperomia+sincorana"
"CEN00055403";18;"Piper+caldense"
"CEN00055430";17;"Piper+arboreum"
"CEN00057417";26;"Piper+hispidum"
"CEN00057475";26;"Piper+hispidum"
"CEN00057612";30;"Piper+mollicomum"
"CEN00057638";9;"Peperomia+pellucida"
"CEN00059979";17;"Piper+arboreum"
"CEN00059980";29;"Piper+marginatum"
"CEN00060002";26;"Piper+hispidum"
"CEN00060020";17;"Piper+arboreum"
"CEN00066877";9;"Peperomia+pellucida"
"CEN00067544";30;"Piper+mollicomum"
"CEN00067591";33;"Piper+tuberculatum"
"CEN00068325";33;"Piper+tuberculatum"
"CEN00091594";33;"Piper+tuberculatum"
"ESA090387";8;"Peperomia+oreophila"
"FLOR0016994";33;"Piper+tuberculatum"
"HUEFS0000073";2;"Peperomia+blanda"
"HUEFS0001572";22;"Piper+divaricatum"
"HUEFS0003048";11;"Peperomia+sincorana"
"HUEFS0006343";3;"Peperomia+galioides"
"HUEFS0006578";15;"Piper+amalago"
"HUEFS0007130";17;"Piper+arboreum"
"HUEFS0007712";15;"Piper+amalago"
"HUEFS0008189";2;"Peperomia+blanda"
"HUEFS0009585";12;"Peperomia+tetraphylla"
"HUEFS0010700";12;"Peperomia+tetraphylla"
"HUEFS0012161";20;"Piper+crassinervium"
"HUEFS0012892";12;"Peperomia+tetraphylla"
"HUEFS0013029";18;"Piper+caldense"
"HUEFS0013395";1;"Peperomia+alata"
"HUEFS0015123";22;"Piper+divaricatum"
"HUEFS0016074";12;"Peperomia+tetraphylla"
"HUEFS0016518_e1";23;"Piper+fuligineum"
"HUEFS0016598";1;"Peperomia+alata"
"HUEFS0017103";12;"Peperomia+tetraphylla"
"HUEFS0020831";12;"Peperomia+tetraphylla"
"HUEFS0021040";2;"Peperomia+blanda"
"HUEFS0021208";32;"Piper+tectoniifolium"
"HUEFS0021241";7;"Peperomia+obtusifolia"
"HUEFS0021272";3;"Peperomia+galioides"
"HUEFS0021316";3;"Peperomia+galioides"
"HUEFS0021320";12;"Peperomia+tetraphylla"
"HUEFS0021802";7;"Peperomia+obtusifolia"
"HUEFS0022747";7;"Peperomia+obtusifolia"
"HUEFS0023786";2;"Peperomia+blanda"
"HUEFS0025006";12;"Peperomia+tetraphylla"
"HUEFS0025703";10;"Peperomia+rotundifolia"
"HUEFS0025706";32;"Piper+tectoniifolium"
"HUEFS0025834";2;"Peperomia+blanda"
"HUEFS0025965";2;"Peperomia+blanda"
"HUEFS0026898";20;"Piper+crassinervium"
"HUEFS0028270";17;"Piper+arboreum"
"HUEFS0028720";12;"Peperomia+tetraphylla"
"HUEFS0029580";23;"Piper+fuligineum"
"HUEFS0030599";16;"Piper+amplum"
"HUEFS0030842";12;"Peperomia+tetraphylla"
"HUEFS0033200";12;"Peperomia+tetraphylla"
"HUEFS0033956";34;"Piper+umbellatum"
"HUEFS0034619";9;"Peperomia+pellucida"
"HUEFS0043094";11;"Peperomia+sincorana"
"HUEFS0044920";34;"Piper+umbellatum"
"HUEFS0045106";17;"Piper+arboreum"
"HUEFS0045321";1;"Peperomia+alata"
"HUEFS0050110";26;"Piper+hispidum"
"HUEFS0050915";2;"Peperomia+blanda"
"HUEFS0050922";11;"Peperomia+sincorana"
"HUEFS0051628";16;"Piper+amplum"
"HUEFS0054373";12;"Peperomia+tetraphylla"
"HUEFS0054751";23;"Piper+fuligineum"
"HUEFS0055834";34;"Piper+umbellatum"
"HUEFS0057531";17;"Piper+arboreum"
"HUEFS0059671";2;"Peperomia+blanda"
"HUEFS0059903";15;"Piper+amalago"
"HUEFS0059905";17;"Piper+arboreum"
"HUEFS0060061";16;"Piper+amplum"
"HUEFS0060226";26;"Piper+hispidum"
"HUEFS0061275";12;"Peperomia+tetraphylla"
"HUEFS0061278";13;"Peperomia+urocarpa"
"HUEFS0061279";20;"Piper+crassinervium"
"HUEFS0061280";7;"Peperomia+obtusifolia"
