"filename";"fold";"specific_epithet"
"ALCB002267";2;"Peperomia+arifolia"
"ALCB002274";4;"Peperomia+blanda"
"ALCB002285";4;"Peperomia+blanda"
"ALCB002428";14;"Peperomia+tetraphylla"
"ALCB002437";16;"Peperomia+urocarpa"
"ALCB002439";16;"Peperomia+urocarpa"
"ALCB002468";17;"Piper+aduncum"
"ALCB002539";22;"Piper+crassinervium"
"ALCB002542";22;"Piper+crassinervium"
"ALCB002545";22;"Piper+crassinervium"
"ALCB002546";22;"Piper+crassinervium"
"ALCB002640";18;"Piper+amalago"
"ALCB002671";24;"Piper+gaudichaudianum"
"ALCB002678";25;"Piper+glabratum"
"CEN00016615";26;"Piper+grazielae"
"CEN00016620";1;"Peperomia+alata"
"CEN00026250";16;"Peperomia+urocarpa"
"CEN00027516";29;"Piper+mikanianum"
"CEN00027545";22;"Piper+crassinervium"
"CEN00029342";34;"Piper+solmsianum"
"CEN00029485";20;"Piper+caldense"
"CEN00029591";16;"Peperomia+urocarpa"
"CEN00041528";23;"Piper+dilatatum"
"CEN00041531";29;"Piper+mikanianum"
"CEN00041534";17;"Piper+aduncum"
"CEN00041536";27;"Piper+hispidum"
"CEN00041538";30;"Piper+miquelianum"
"CEN00041539";23;"Piper+dilatatum"
"CEN00041540";9;"Peperomia+martiana"
"CEN00041542";22;"Piper+crassinervium"
"CEN00041543";20;"Piper+caldense"
"CEN00041546";36;"Piper+xylosteoides"
"CEN00041548";17;"Piper+aduncum"
"CEN00041552";28;"Piper+malacophyllum"
"CEN00041553";36;"Piper+xylosteoides"
"CEN00041554";27;"Piper+hispidum"
"CEN00041556";4;"Peperomia+blanda"
"CEN00041559";16;"Peperomia+urocarpa"
"CEN00041560";7;"Peperomia+glabella"
"CEN00041561";6;"Peperomia+corcovadensis"
"CEN00041562";2;"Peperomia+arifolia"
"CEN00041564";34;"Piper+solmsianum"
"CEN00041567";16;"Peperomia+urocarpa"
"CEN00041571";16;"Peperomia+urocarpa"
"CEN00041572";28;"Piper+malacophyllum"
"CEN00041573";29;"Piper+mikanianum"
"CEN00041575";28;"Piper+malacophyllum"
"CEN00041576";2;"Peperomia+arifolia"
"CEN00044965";23;"Piper+dilatatum"
